case_id,instance_id,repo,upstream_repo,base_commit,language,generation_method,generation_method_raw,method_family,trajectory_count,fail_to_pass_count,pass_to_pass_count,patch_bytes,image_name
SWESMITH_001,luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__96brcjir,swesmith/luozhouyang__python-string-similarity.115acaac,luozhouyang/python-string-similarity,651d3b12f14b32ef05bde8d8d76207baff37059b,python,func_pm_class_rm_funcs,func_pm_class_rm_funcs,procedural,1,1,17,1350,swesmith.x86_64.luozhouyang__python-string-similarity.115acaac
SWESMITH_002,amueller__word_cloud.ec24191c.func_pm_remove_cond__evf0y6cw,swesmith/amueller__word_cloud.ec24191c,amueller/word_cloud,d4554c722ab9abc2d3a5db0f26984e83af31d5a8,python,func_pm_remove_cond,func_pm_remove_cond,procedural,1,1,72,2985,swesmith.x86_64.amueller__word_cloud.ec24191c
SWESMITH_003,pylint-dev__astroid.b114f6b5.pr_2570,swesmith/pylint-dev__astroid.b114f6b5,pylint-dev/astroid,577a2e6aa82e71806527d98ac7281ea56f7807c1,python,pr_mirror,pr_2570,mirror,2,1,1592,1342,swesmith.x86_64.pylint-dev__astroid.b114f6b5
SWESMITH_004,pydicom__pydicom.7d361b3d.lm_rewrite__w9oz3z69,swesmith/pydicom__pydicom.7d361b3d,pydicom/pydicom,8678b85b654f6f48c8493dd00e0dea38d65f09fd,python,lm_rewrite,lm_rewrite,llm,1,1,2328,1243,swesmith.x86_64.pydicom__pydicom.7d361b3d
SWESMITH_005,seperman__deepdiff.ed252022.lm_rewrite__tpvrougr,swesmith/seperman__deepdiff.ed252022,seperman/deepdiff,befbc788b1cc50cfcf6c5dac1081e69e91ba9b03,python,lm_rewrite,lm_rewrite,llm,1,2,917,1122,swesmith.x86_64.seperman__deepdiff.ed252022
SWESMITH_006,davidhalter__parso.338a5760.func_pm_class_rm_base__h6r9wse5,swesmith/davidhalter__parso.338a5760,davidhalter/parso,adf40b4ea360a3b8de238470e93ff5773e17e4d3,python,func_pm_class_rm_base,func_pm_class_rm_base,procedural,1,122,678,726,swesmith.x86_64.davidhalter__parso.338a5760
SWESMITH_007,sloria__environs.73c372df.lm_rewrite__cm1ntr8d,swesmith/sloria__environs.73c372df,sloria/environs,2b0dff4f8985ce8b230deb5e2df34b605cf20b60,python,lm_rewrite,lm_rewrite,llm,1,3,102,3131,swesmith.x86_64.sloria__environs.73c372df
SWESMITH_008,tornadoweb__tornado.d5ac65c1.lm_rewrite__cnp2i98g,swesmith/tornadoweb__tornado.d5ac65c1,tornadoweb/tornado,457e0068f8a4cc43194bab487010fca975437664,python,lm_rewrite,lm_rewrite,llm,1,3,1154,3123,swesmith.x86_64.tornadoweb__tornado.d5ac65c1
SWESMITH_009,pylint-dev__astroid.b114f6b5.lm_rewrite__1h5bpz9d,swesmith/pylint-dev__astroid.b114f6b5,pylint-dev/astroid,3532630a98cabe48e62cf9065a7393b03ff2a040,python,lm_rewrite,lm_rewrite,llm,1,19,1574,3875,swesmith.x86_64.pylint-dev__astroid.b114f6b5
SWESMITH_010,kayak__pypika.1c9646f0.lm_rewrite__qw5j6bj2,swesmith/kayak__pypika.1c9646f0,kayak/pypika,c4b51046f9611a668decb9e0c28394887a07e09b,python,lm_rewrite,lm_rewrite,llm,1,3,1058,1184,swesmith.x86_64.kayak__pypika.1c9646f0
