instance_id,repo,upstream_repo,base_commit,language,generation_method,generation_method_raw,method_family,trajectory_count,fail_to_pass_count,pass_to_pass_count,patch_bytes,image_name
Cog-Creators__Red-DiscordBot.33e0eac7.func_pm_ctrl_invert_if__rxgs897w,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,42e8968c5b680569a60c5080597f78516468d0ce,python,func_pm_ctrl_invert_if,func_pm_ctrl_invert_if,procedural,1,1,267,1272,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.func_pm_ctrl_shuffle__jj1q4uh6,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,55cee5e3e8f046ea583d03567afe0a8913d93c82,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,2,266,844,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__1xt89hhu,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,597b48f7d7a1f327b2947f3a64fb9c02ef7d083e,python,lm_rewrite,lm_rewrite,llm,1,3,208,1847,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__cr3ytkrg,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,46ec1cd6ee9ede691df702934d1ed2521cb59c24,python,lm_rewrite,lm_rewrite,llm,1,1,267,5156,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__gjog9x86,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,07601e892084a6ceaba36d0eafbc024666c4aa9a,python,lm_rewrite,lm_rewrite,llm,1,1,267,1300,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__mc946nmf,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,fb0559328279a1de9974e017319504d949613b89,python,lm_rewrite,lm_rewrite,llm,1,1,259,3742,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__p1g97y43,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,d83c4c3320c77802791d1cebbd2c3c86b9a83ad8,python,lm_rewrite,lm_rewrite,llm,1,1,267,2768,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.lm_rewrite__uwiuayml,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,7b28098a1617c9594bbe8830894f2b357ea666bb,python,lm_rewrite,lm_rewrite,llm,1,1,267,1010,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_5969,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,bf7dc893384a3f7e94fc7d96dfa63ea000f59eec,python,pr_mirror,pr_5969,mirror,3,268,0,6717,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6065,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,a35beed8c70ef14471bdf15882ed23679f5dbb10,python,pr_mirror,pr_6065,mirror,1,1,267,1782,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6093,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,f0048c9149ae3a5aac1d842fbc474c4554adf951,python,pr_mirror,pr_6093,mirror,1,268,0,5932,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6107,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,607a8018b414ccfea1c3a8da53ce6ca923a697ae,python,pr_mirror,pr_6107,mirror,1,1,267,1608,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6135,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,f31698f02ceb1d8f343708a65868b905d4d3c6b4,python,pr_mirror,pr_6135,mirror,1,268,0,15737,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6176,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,ce1fc4aed8931ce34776f0257e2f9cda540d4e7e,python,pr_mirror,pr_6176,mirror,3,268,0,8420,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
Cog-Creators__Red-DiscordBot.33e0eac7.pr_6430,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,Cog-Creators/Red-DiscordBot,f010b5ab4900008fcd39354bfffbda92666653f7,python,pr_mirror,pr_6430,mirror,1,268,0,29709,swesmith.x86_64.cog-creators__red-discordbot.33e0eac7
HIPS__autograd.ac044f0d.lm_rewrite__7sy8cnvk,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,90dbd1f3eba0536dbfb7ffcb99b762c428491e7a,python,lm_rewrite,lm_rewrite,llm,1,2,583,917,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__cy12xl6n,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,de0a5dae206217fc4862cffd761c1953b645cbef,python,lm_rewrite,lm_rewrite,llm,1,4,581,1303,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__igr69pe7,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,f0600d2a3e07fb8f6a107e540c539c2d68228629,python,lm_rewrite,lm_rewrite,llm,1,1,584,4782,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__ki4lth6m,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,1a0d95863301ea7d1dc68949dab89ad023d7d72d,python,lm_rewrite,lm_rewrite,llm,1,2,583,1493,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__mjvaa7gi,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,d7a528762e0d629c61083d7bc42d87f941650083,python,lm_rewrite,lm_rewrite,llm,1,4,581,758,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__spxijnmi,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,cfa42966201fb648fad4af653aa8f4861511f1c6,python,lm_rewrite,lm_rewrite,llm,1,8,577,718,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__uktueq2k,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,14ca0420664a7d8c901b4a923aee2da9aa239d1a,python,lm_rewrite,lm_rewrite,llm,1,1,584,2066,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__vvkfsb5r,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,b967cf62acefb76bcee77726564d2862e7528eb7,python,lm_rewrite,lm_rewrite,llm,1,4,581,882,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__x43lsuap,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,2404a94be6a2f5e9e1c599b04c634188d9feddee,python,lm_rewrite,lm_rewrite,llm,1,574,11,746,swesmith.x86_64.hips__autograd.ac044f0d
HIPS__autograd.ac044f0d.lm_rewrite__zmt92fhi,swesmith/HIPS__autograd.ac044f0d,HIPS/autograd,7a22447a1c72940f234ea13e20ad4c54d7d41ce6,python,lm_rewrite,lm_rewrite,llm,1,557,28,1936,swesmith.x86_64.hips__autograd.ac044f0d
Knio__dominate.9082227e.func_pm_ctrl_shuffle__p7q9mdxe,swesmith/Knio__dominate.9082227e,Knio/dominate,804b00ba2bdea998e2854e7ec69d878f7e9a4876,python,func_pm_ctrl_shuffle,func_pm_ctrl_shuffle,procedural,1,1,64,550,swesmith.x86_64.knio__dominate.9082227e
Knio__dominate.9082227e.pr_166,swesmith/Knio__dominate.9082227e,Knio/dominate,1f28b159fe8efe53a6175aad354ed7d42861f07e,python,pr_mirror,pr_166,mirror,1,1,64,881,swesmith.x86_64.knio__dominate.9082227e
Knio__dominate.9082227e.pr_184,swesmith/Knio__dominate.9082227e,Knio/dominate,d58a910511f753ceea57c3badb5910bf6bc5617b,python,pr_mirror,pr_184,mirror,3,1,64,708,swesmith.x86_64.knio__dominate.9082227e
Mimino666__langdetect.a1598f1a.combine_file__8ahfsx60,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,21efde616e79f3b38f878a5ae56d71a17236d843,python,combine_file,combine_file,combine,2,4,19,4333,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.combine_file__rd7toodg,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,7bd90ec280cf45e3e0487a84abca920347d215bf,python,combine_file,combine_file,combine,2,10,13,3087,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.combine_module__yusqvqhs,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,b70755a38989a9cd2f7d96373dc5da1e3183dfc3,python,combine_module,combine_module,combine,2,10,13,3205,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.func_pm_class_rm_funcs__842dr37d,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,46f4f00c2d6e1c46a3726c4b95b6d88ee02b9436,python,func_pm_class_rm_funcs,func_pm_class_rm_funcs,procedural,1,4,19,913,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.func_pm_remove_assign__d8cita5b,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,c4a57a80e72bd1116faad8765b50aae9a4b762b4,python,func_pm_remove_assign,func_pm_remove_assign,procedural,1,4,19,1044,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.lm_rewrite__4mcfbbpa,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,39297efa11caff177690de50088abc550c26b4d4,python,lm_rewrite,lm_rewrite,llm,1,2,21,1479,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.lm_rewrite__4ump9qgc,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,2a67f03f3d7ff583c123fbb29f0660072fd6e3dd,python,lm_rewrite,lm_rewrite,llm,1,1,22,537,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.lm_rewrite__dk9wx21q,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,05bd01d7f01a8fca220359ebcc597f221aff56cf,python,lm_rewrite,lm_rewrite,llm,1,4,19,4124,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.lm_rewrite__dox2wntq,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,4e59aee0e58ae3cbecbb024a25bfc1e5c962b932,python,lm_rewrite,lm_rewrite,llm,1,2,21,879,swesmith.x86_64.mimino666__langdetect.a1598f1a
Mimino666__langdetect.a1598f1a.lm_rewrite__z3d6igoh,swesmith/Mimino666__langdetect.a1598f1a,Mimino666/langdetect,3d39ec482831e06f6b558ac789d2cb25b72db7bc,python,lm_rewrite,lm_rewrite,llm,1,2,21,852,swesmith.x86_64.mimino666__langdetect.a1598f1a
