case_id,repo,language,packet_path,packet_sha256
SWESMITH_001,luozhouyang/python-string-similarity,python,data/review_packets/SWESMITH_001,84a9d4299584915cd0316b9a181f6f8c46d44a961cc343d0fa05f76b4a17ac0e
SWESMITH_002,amueller/word_cloud,python,data/review_packets/SWESMITH_002,5a2fca6f573fc2b26c52ab24843c2f3ba9377b7d667c6bf28b0a3101d3da2f3f
SWESMITH_003,pylint-dev/astroid,python,data/review_packets/SWESMITH_003,8783522b35b14fe971c37d434562e9c9a0beb5be26f49503c7f9a8d2c8bf50c2
SWESMITH_004,pydicom/pydicom,python,data/review_packets/SWESMITH_004,83b07c939d7e5cbd9f3aaf59c212b1e474c6faea5a7e296c2b27ed068597854f
SWESMITH_005,seperman/deepdiff,python,data/review_packets/SWESMITH_005,f892a5eabdab3b4f30b41c7c57b96c07ad5cb19d5b13a4ddad26654e16e1d2f5
SWESMITH_006,davidhalter/parso,python,data/review_packets/SWESMITH_006,1da94ff6a3c6715941824dbb9dd822c11a016279f3738b31e76ddf8c3e4de388
SWESMITH_007,sloria/environs,python,data/review_packets/SWESMITH_007,2ac5c143f530db35998709fb9041b2c8ed79e617b53d1d4e01089d057de04a29
SWESMITH_008,tornadoweb/tornado,python,data/review_packets/SWESMITH_008,5656279188e3eacf107d532f5e7ab9ca6d7e6e7f18eba060726d5062585a71ee
SWESMITH_009,pylint-dev/astroid,python,data/review_packets/SWESMITH_009,6086e5486158389963a63b8023e794b359863e1a8cfcbb1a34fd6ececdf16def
SWESMITH_010,kayak/pypika,python,data/review_packets/SWESMITH_010,796c84fb7aabdd0a8d9b2967b20db7b7cca233b8d1f6dbeba5b4b47426071b49
SWESMITH_011,encode/starlette,python,data/review_packets/SWESMITH_011,ced0c380774f4e987d96266f5fd106a0ec0c932f3e8ba2458c5096b87b021602
SWESMITH_012,davidhalter/parso,python,data/review_packets/SWESMITH_012,dfc7583c4b88dbe019393f88aaeb2c7a40efccbe02189bc9906a719d5d6efff6
SWESMITH_013,getmoto/moto,python,data/review_packets/SWESMITH_013,cb49fb383982a72fa68eb2a41de9840a9fb9bb9a97e02d84c3fe664234108619
SWESMITH_014,theskumar/python-dotenv,python,data/review_packets/SWESMITH_014,67e92295ae5172bdea8509eb8a3b2ce1828c0f585cf70c375363ad32651f501e
SWESMITH_015,marshmallow-code/apispec,python,data/review_packets/SWESMITH_015,7c1ac8b7399bb94aebf4f623837519d108fa97e42200ba8ecd98eda39805bb07
SWESMITH_016,davidhalter/parso,python,data/review_packets/SWESMITH_016,cc7a6722256dfcdb83db646e88513495fc57e797dbd12de80c7eadae00dab3f7
SWESMITH_017,pandas-dev/pandas,python,data/review_packets/SWESMITH_017,c97dc4c5a84d886147f2f925c2babf0a8350de410828c820d26382b749bc2a3f
SWESMITH_018,facebookresearch/hydra,python,data/review_packets/SWESMITH_018,63208570e1b3ccc82572ed19286d89495e5602f4f3fa586dc7fc58c8f446c3ff
SWESMITH_019,facebookresearch/hydra,python,data/review_packets/SWESMITH_019,d7348ad60fef01e3ad70e96c8277e346ce71a51d7732af56a29c39d627f72264
SWESMITH_020,conan-io/conan,python,data/review_packets/SWESMITH_020,419d30189fd34e3c99b1f963f70315a6a38ba9b57a15c9576cfaeb306dbe3040
SWESMITH_021,rubik/radon,python,data/review_packets/SWESMITH_021,0fe363e7be2d1cf9cab639c980cd301f1724c7036ac47b6c2349d4884e214d4b
SWESMITH_022,tkrajina/gpxpy,python,data/review_packets/SWESMITH_022,9a1a430fb97a084eb42baddc86b50307713e2c4d30f8831719e22c656647879b
SWESMITH_023,arrow-py/arrow,python,data/review_packets/SWESMITH_023,9ad35b065fba6ccec62e132b8fc83db91877e60b24662d286e063ae09594c98b
